dataset_type,video_name,min_cutoff,beta,d_cutoff,frame_count,noise_reduction,displacement_reduction,shoulder_velocity_retention
normal,20060723sfjffinallseriousness_run_f_cm_np2_ba_med_2.avi,1.0,0.007,1.0,48,24.639552828174395,75.0407981729639,14.39871307906793
normal,20060723sfjffjewcy_walk_f_cm_np1_ba_med_2.avi,1.0,0.007,1.0,49,61.37246803910199,75.17492868669828,16.916625942396436
normal,20060723sfjffjewcy_walk_f_nm_np1_fr_med_1.avi,1.0,0.007,1.0,74,44.41736337403396,78.35739298338436,18.78036990232306
normal,20060723sfjffjewgotmail_walk_f_cm_np2_ba_med_2.avi,1.0,0.007,1.0,48,0.4762082064479811,77.83718807927119,23.399396179246175
normal,20060723sfjffkillerskiss_walk_f_cm_np1_fr_med_1.avi,1.0,0.007,1.0,84,,,
normal,20060723sfjffschmoozer_walk_f_cm_np1_ri_med_1.avi,1.0,0.007,1.0,218,,,
normal,20060723sfjffschmoozer_walk_f_cm_np2_ri_med_0.avi,1.0,0.007,1.0,37,,,
normal,50_FIRST_DATES_run_f_nm_np1_ba_med_20.avi,1.0,0.007,1.0,79,6.090355811322379,72.32936365895975,32.063035022794814
normal,50_FIRST_DATES_walk_f_cm_np1_ri_med_31.avi,1.0,0.007,1.0,82,62.59932462126966,78.65438322272371,14.077278414428243
normal,50_FIRST_DATES_wave_f_cm_np1_fr_med_0.avi,1.0,0.007,1.0,50,,,
normal,A_Beautiful_Mind_6_walk_u_cm_np1_fr_med_1.avi,1.0,0.007,1.0,109,7.159182571838841,67.0067841954621,24.609922693317518
normal,AboutABoy_walk_f_nm_np1_le_med_5.avi,1.0,0.007,1.0,95,27.949145578800238,69.39799169609455,27.65865522068532
normal,American_History_X_run_u_cm_np1_ba_med_18.avi,1.0,0.007,1.0,88,-13.08337586048336,70.80547247755284,16.44379526872536
normal,American_History_X_sit_f_cm_np1_le_med_27.avi,1.0,0.007,1.0,98,8.578672134555775,62.52010445014913,27.960961035600242
normal,American_History_X_sit_u_cm_np1_fr_med_6.avi,1.0,0.007,1.0,84,41.89904309892689,76.1934964379954,19.885296171757876
normal,BLACK_HAWK_DOWN_run_f_nm_np1_ba_med_31.avi,1.0,0.007,1.0,48,,,
normal,BLACK_HAWK_DOWN_run_f_nm_np1_ba_med_32.avi,1.0,0.007,1.0,48,,,
normal,BLACK_HAWK_DOWN_run_f_nm_np1_ri_med_17.avi,1.0,0.007,1.0,21,82.66888831533272,82.66985909861305,17.32677874775086
normal,Bush_Wave_vs__Obama_Wave_and_Which_Commander-in-chief_Salutes_the_Best__You_Decide_wave_u_cm_np1_fr_med_0.avi,1.0,0.007,1.0,205,26.676053654424635,70.79091786795846,30.65249355070473
normal,Bush_Wave_vs__Obama_Wave_and_Which_Commander-in-chief_Salutes_the_Best__You_Decide_wave_u_cm_np1_fr_med_1.avi,1.0,0.007,1.0,84,52.109755791412894,79.39885168450023,19.130572469194462
normal,Bush_Wave_vs__Obama_Wave_and_Which_Commander-in-chief_Salutes_the_Best__You_Decide_wave_u_cm_np1_fr_med_3.avi,1.0,0.007,1.0,79,50.4590284642856,77.98412726432582,13.346165785889783
normal,Bush_Wave_vs__Obama_Wave_and_Which_Commander-in-chief_Salutes_the_Best__You_Decide_wave_u_cm_np1_fr_med_4.avi,1.0,0.007,1.0,79,30.016757028074213,56.11910848232103,37.07032450689536
normal,Bush_Wave_vs__Obama_Wave_and_Which_Commander-in-chief_Salutes_the_Best__You_Decide_wave_u_cm_np1_fr_med_5.avi,1.0,0.007,1.0,96,25.430979367905604,67.36620081331908,31.359754971573135
normal,CharlieAndTheChocolateFactory_sit_f_nm_np1_fr_med_3.avi,1.0,0.007,1.0,54,56.42243157344626,72.65787258113959,41.91073299666
normal,EVOLUTION_wave_u_nm_np1_fr_med_18.avi,1.0,0.007,1.0,101,-4.308158984785737,50.439837334060385,46.33478745805729
