frame_id,person_id,bbox_center_x,bbox_center_y,bbox_width,bbox_height
1,1,410.5,526.5,79.0,235.0
1,2,139.0,669.5,76.0,243.0
1,3,1769.5,567.0,73.0,220.0
1,4,1132.5,1029.5,71.0,99.0
1,5,1401.5,693.0,89.0,244.0
1,6,20.5,979.5,41.0,197.0
1,7,259.5,496.0,63.0,194.0
1,8,1133.0,298.5,56.0,179.0
2,1,411.0,526.5,80.0,237.0
2,2,139.0,669.5,76.0,243.0
2,3,1768.5,567.0,73.0,220.0
2,4,1134.5,1029.5,71.0,99.0
2,5,1400.0,692.5,88.0,243.0
2,7,270.0,494.5,66.0,201.0
2,8,1127.0,298.5,56.0,179.0
3,1,411.0,527.0,80.0,240.0
3,2,138.5,669.5,77.0,243.0
3,3,1767.5,566.5,73.0,221.0
3,4,1138.0,1029.0,72.0,100.0
3,5,1400.0,692.0,88.0,242.0
3,8,1121.5,299.0,57.0,180.0
3,9,575.0,235.5,56.0,181.0
4,1,411.5,528.0,81.0,240.0
4,2,139.0,669.5,76.0,243.0
4,3,1766.5,565.0,73.0,222.0
4,4,1141.0,1028.0,72.0,102.0
4,5,1400.0,692.0,88.0,242.0
4,6,20.5,977.0,41.0,200.0
4,8,1116.5,296.5,57.0,181.0
4,9,574.5,235.5,55.0,181.0
5,1,413.5,528.0,81.0,240.0
5,2,138.5,670.0,77.0,244.0
5,3,1766.0,564.5,74.0,221.0
5,4,1145.5,1027.5,73.0,103.0
5,5,1401.0,692.0,88.0,242.0
5,6,21.0,974.0,42.0,202.0
5,8,1112.5,296.0,59.0,182.0
5,9,573.0,236.0,56.0,180.0
5,10,822.5,236.0,65.0,172.0
6,1,414.0,526.5,80.0,239.0
6,2,139.0,670.0,76.0,244.0
6,3,1764.5,565.5,75.0,223.0
6,4,1149.0,1027.0,72.0,102.0
6,5,1401.5,693.0,89.0,242.0
6,6,21.5,972.0,43.0,204.0
6,8,1107.0,295.5,60.0,181.0
